호선,역명,장비종류,호기,승강기번호,운행구간,설치위치,위도,경도
1,센트럴파크역,EL,1,2059-414,지하1층↔지하2층,"(B2) 인천대입구역 방향 승강장 5-1 열차 출입문 앞,(B1) 인천대입구역 방향 열차 승강장 방향",37.3931329,126.6339473
1,센트럴파크역,EL,2,2059-415,지하1층↔지하2층,"(B2) 국제업무지구역 방향 승강장 4-4 열차 출입문 앞,(B1) 국제업무지구역 방향 열차 승강장 방향",37.3933161,126.6334891
1,센트럴파크역,EL,3,2059-416,지상층↔지하1층,"(B1) 3번 출입구 방향,(1F) 3번 출입구 뒤",37.3937729,126.6347714
1,국제업무지구역,EL,1,2059-346,지하1층↔지하2층,"(B2) 센트럴파크역 방향 승강장 6-2 열차 출입문 앞,(B1) 센트럴파크역 방향 열차 승강장 방향",,
1,국제업무지구역,EL,2,2059-347,지하1층↔지하2층,"(B2) 송도달빛축제공원역 방향 승강장 3-3 열차 출입문 앞,(B1) 송도달빛축제공원역 방향 열차 승강장 방향",,
1,국제업무지구역,EL,3,2059-348,지상층↔지하1층,"(B1) 1번, 2번 출입구 방향,(1F) 2번 출입구 뒤",37.4000308,126.6298141
1,국제업무지구역,EL,4,2059-349,지상층↔지하1층,"(B1) 5번 출입구 방향,(1F) 5번 출입구 뒤",37.4005621,126.6304326
1,국제업무지구역,EL,5,2282-155,지상층↔지하1층,3번출구 힐스테이트송도더스카이 연결통로,,
1,송도달빛축제공원역,EL,1,2236-554,대합실↔승강장,"(B2) 국제업무지구역 방향 승강장 5-1 열차 출입문 앞,(B1) 국제업무지구역 방향 열차 승강장 방향",,
1,송도달빛축제공원역,EL,2,2236-555,대합실↔승강장,"(B2) 승강장 5-1 열차 출입문 앞,(B1)  열차 승강장 방향",,
1,송도달빛축제공원역,EL,3,2236-556,대합실↔외부,"(B1) 1번 출입구 방향,(1F) 1번 출입구 뒤",37.4067436,126.6255963
1,송도달빛축제공원역,EL,4,2236-560,대합실↔외부,"(B1) 2번 출입구 방향,(1F) 2번 출입구 뒤",37.4070548,126.6264165
2,검단오류역,EL,1,2170-578,지상1층↔지상2층,"(1F) 2번 출입구 옆,(2F) 1번 출입구 계단 옆",37.59501585609955,126.62814832004538
2,검단오류역,EL,2,2170-579,지상2층↔지상3층,"(2F) 검단오류역 방향 승강장 계단 옆,(3F) 검단오류역 방향 승강장 출입문 중앙부 앞",,
2,검단오류역,EL,3,2170-580,지상2층↔지상3층,"(2F) 왕길역 방향 승강장 계단 옆,(3F) 왕길역 방향 승강장 출입문 중앙부 앞",,
2,왕길,EL,1,2170-583,지상1층↔지상2층,"(1F) 1번 출입구 옆,(2F) 화장실 옆",37.5951314201938,126.64221692525207
2,왕길,EL,2,2170-581,지상2층↔지상3층,"(2F) 검단오류역 방향 승강장 계단 옆,(3F) 검단오류역 방향 승강장 출입문 중앙부 앞",,
2,왕길,EL,3,2170-582,지상2층↔지상3층,"(2F) 검단사거리역 방향 승강장 계단 옆,(3F) 검단사거리역 방향 승강장 출입문 중앙부 앞",,
2,검단사거리역,EL,1,2170-627,지하1층↔지하2층,"(B2) 고객안내센터 옆,(B3) 왕길역 방향 승강장 출입문 2-3 옆",,
2,검단사거리역,EL,2,2170-628,지하1층↔지하2층,"(B2) 표 내는 곳 옆,(B3) 마전역 방향 승강장 출입문 1-1 옆",,
2,검단사거리역,EL,3,2170-626,지상층↔지하1층,"(1F) 1번 출입구 근처,(B1) 화장실 옆",37.6019435245011,126.65684646880992
2,마전역,EL,1,2170-625,지하1층↔지하3층,"(B1) 고객안내센터 옆,(B3) 검단사거리역 방향 승강장 출입문 1-1 옆",,
2,마전역,EL,2,2170-624,지하1층↔지하3층,"(B1) 표 내는 곳 옆,(B3) 완정역 방향 승강장 출입문 2-3 옆",,
2,마전역,EL,3,2170-623,지상층↔지하1층,"(1F) 1번 출입구 근처,(B1) 1번 출입구 계단 옆",37.597842127805556,126.66719252275999
2,완정역,EL,1,2045-091,지하1층↔지하3층,"(B1) 임대상가 측 통로 끝,(B2) 에스컬레이터 1, 2호기 옆,(B3) 마전역 방향 승강장 출입문 중앙부 앞",,
